FirstName,LastName,Email,Phone,Title,Company,Country,CreatedAt,LeadSource
Emily,Chen,emily.chen@gmail.com,+11234567890,Product Lead,Globaltech,United States,2024-10-28,Referral
Frank,Anderson,frank.anderson@yahoo.com,,Sr. Engineer,,India,2025-08-14,Linkedin
Jack,Chen,jack.chen@company.com,+18005551212,Vp Mktg,,Canada,2025-02-08,Website Visitor
Grace,Martinez,grace.martinez@gmail.com,+11234567890,Cto,Example Corp,United States,2025-07-03,Product Signup
Alice,Johnson,alice.johnson@gmail.com,,Software Engineer,Nan,Canada,2025-06-25,Referral
David,Chen,david.chen@business.co,,Sr. Engineer,Acme Co,United States,2025-02-04,Event
Grace,Johnson,grace.johnson@gmail.com,+11234567890,Product Lead,,Nan,2025-06-03,Referral
Henry,Lee,henry.lee@yahoo.com,+18005551212,Head Of Sales,Umbrella Corp,United Kingdom,2025-03-04,Website Visitor
David,Smith,david.smith@business.co,,Vp Marketing,Air Inc,Germany,2024-08-20,Website Visitor
Bob,Martinez,bob.martinez@startup.io,+18005551212,Head Of Sales,Acme Co,United Kingdom,2025-02-25,Linkedin
Alice,Chen,alice.chen@startup.io,,Product Lead,Acme Co,United States,2025-04-02,Website Visitor
Henry,Brown,henry.brown@company.com,,Ceo,Initech,United States,2025-06-03,Referral
Jack,Wilson,jack.wilson@air.inc,+18005551212,Designer,Nan,Nan,2025-01-28,Website Visitor
Ivy,Anderson,ivy.anderson@startup.io,,Data Analyst,Initech,Germany,2024-10-19,Product Signup
Emily,Chen,emily.chen@yahoo.com,,Vp Mktg,Startup.Io,France,2025-05-18,Website Visitor
Emily,Smith,emily.smith@air.inc,+11234567890,Data Analyst,Air.Inc,United States,2025-05-10,Referral
Ivy,Martinez,ivy.martinez@gmail.com,,Designer,Nan,Canada,2024-10-07,Website Visitor
Carol,Taylor,carol.taylor@business.co,+11234567890,Vp Marketing,Globaltech,Ca,2025-07-11,Website Visitor
Grace,Martinez,grace.martinez@company.com,+11234567890,Product Lead,Initech,Nan,2025-07-09,Website Visitor
,,emilychen@yahoo,,Sr. Eng,Air.Inc,Ca,,Website Visitor
,,carol@,+18005551212,Head Of Sales,Example Corp,United States,,Linkedin
Jack,Jones,jack.jones@business.co,+11234567890,Vp Mktg,Initech,India,2025-01-06,Referral
Frank,Anderson,frank.anderson@company.com,+11234567890,Cto,Air.Inc,United States,2024-12-25,Referral
Emily,Johnson,emily.johnson@gmail.com,,Marketing Manager,Nan,Ca,2024-09-22,Product Signup
Alice,Johnson,alice.johnson@yahoo.com,,Vp Marketing,Acme Co,India,2024-10-14,Website Visitor
Bob,Taylor,bob.taylor@yahoo.com,,Sr. Engineer,Example Corp,Ca,2025-07-02,Referral
Carol,,bob.jones@example.com,,Sr. Eng,,United States,,Website Visitor
Emily,Johnson,emily.johnson@yahoo.com,+18005551212,Cto,Acme Co,Nan,2024-09-28,Product Signup
Frank,Wilson,frank.wilson@air.inc,+18005551212,Designer,Company,United States,2024-10-14,Website Visitor
Bob,Johnson,bob.johnson@business.co,,Nan,Initech,India,2025-03-31,Referral
Henry,Chen,henry.chen@company.com,,Head Of Sales,Startup.Io,France,2024-12-08,Referral
Jack,Wilson,jack.wilson@gmail.com,+11234567890,Head Of Sales,Air.Inc,Germany,2025-02-02,Event
Carol,Anderson,carol.anderson@company.com,,Product Lead,Air.Inc,Germany,2025-02-05,Website Visitor
Carol,Brown,carol.brown@startup.io,,Head Of Sales,,United States,2025-07-30,Referral
Ivy,Jones,ivy.jones@air.inc,+11234567890,Product Lead,Example Corp,Canada,2025-05-13,Referral
Henry,Brown,henry.brown@air.inc,,Head Of Sales,Initech,Nan,2025-03-25,Event
Bob,Brown,bob.brown@startup.io,+11234567890,Ceo,Air Inc,Germany,2025-04-17,Website Visitor
Carol,Chen,carol.chen@company.com,+11234567890,Software Engineer,Globaltech,Canada,2025-07-22,Linkedin
Jack,Lee,jack.lee@company.com,,Ceo,Air.Inc,Ca,2025-06-29,Referral
Jack,Wilson,jack.wilson@yahoo.com,+11234567890,Software Engineer,Initech,United States,2024-09-14,Linkedin
David,Taylor,david.taylor@air.inc,+11234567890,Vp Marketing,Air.Inc,United States,2024-11-04,Product Signup
Jack,Chen,jack.chen@gmail.com,,Sr. Engineer,Example Corp,France,2025-02-19,Referral
Bob,Martinez,bob.martinez@company.com,+11234567890,Vp Mktg,Globaltech,Ca,2025-06-29,Referral
Alice,Chen,alice.chen@air.inc,,Sr. Engineer,Acme Co,United States,2024-08-20,Product Signup
Emily,Lee,emily.lee@startup.io,,Cto,,Germany,2025-01-30,Linkedin
Alice,Wilson,alice.wilson@gmail.com,,Cto,Company,Germany,2024-09-29,Product Signup
Frank,Lee,frank.lee@yahoo.com,,Sr. Engineer,Example Corp,France,2025-06-28,Referral
Grace,Taylor,grace.taylor@company.com,,Vp Mktg,Air.Inc,France,2024-08-24,Linkedin
Ivy,Anderson,ivy.anderson@yahoo.com,+11234567890,Sr. Engineer,Initech,United States,2025-03-12,Referral
Carol,Taylor,carol.taylor@company.com,+11234567890,Ceo,Startup.Io,Nan,2025-04-06,Product Signup
Jack,Jones,jack.jones@startup.io,+18005551212,Ceo,Startup.Io,Germany,2024-11-18,Event
Alice,Johnson,alice.johnson@company.com,+11234567890,Nan,Example Corp,United States,2025-06-29,Referral
Frank,Brown,frank.brown@startup.io,+11234567890,Sr. Engineer,Acme Co,United States,2025-04-04,Event
Nan,,missing-at-symbol.com,,Vp Mktg,Air.Inc,United States,,Linkedin
Jack,Martinez,jack.martinez@company.com,,Cto,Initech,France,2024-10-19,Event
Jack,Brown,jack.brown@company.com,+11234567890,Designer,Globaltech,Nan,2024-12-20,Event
Ivy,Jones,ivy.jones@company.com,+18005551212,Product Lead,Startup.Io,United Kingdom,2024-10-20,Product Signup
Alice,Chen,alice.chen@startup.io,,Software Engineer,Nan,United States,2025-05-24,Website Visitor
Alice,Lee,alice.lee@air.inc,,Vp Mktg,Globaltech,United States,2025-08-02,Product Signup
Grace,Smith,grace.smith@air.inc,,Marketing Manager,Startup.Io,Nan,2025-05-02,Referral
Grace,Smith,grace.smith@yahoo.com,,Head Of Sales,Example Corp,United Kingdom,2025-03-14,Product Signup
Emily,Jones,emily.jones@air.inc,+11234567890,Designer,Startup.Io,India,2025-07-01,Event
Alice,Smith,alice.smith@gmail.com,+18005551212,Ceo,Example Corp,Canada,2025-07-19,Website Visitor
Emily,Jones,emily.jones@yahoo.com,,Product Lead,Startup.Io,United Kingdom,2025-01-30,Event
Carol,Taylor,carol.taylor@startup.io,,Marketing Manager,,Nan,2025-04-17,Referral
Grace,Johnson,grace.johnson@gmail.com,+11234567890,Head Of Sales,Globaltech,United States,2025-04-24,Linkedin
David,Jones,david.jones@yahoo.com,+11234567890,Vp Mktg,Nan,Canada,2025-01-06,Event
Carol,Brown,carol.brown@business.co,,Software Engineer,,Ca,2025-05-18,Website Visitor
Carol,Wilson,carol.wilson@company.com,+11234567890,Data Analyst,Initech,India,2025-07-08,Website Visitor
David,Lee,david.lee@gmail.com,,Ceo,Air Inc,India,2025-06-11,Product Signup
Ivy,Taylor,ivy.taylor@yahoo.com,,Marketing Manager,Example Corp,Nan,2025-03-21,Event
Grace,Taylor,grace.taylor@yahoo.com,+11234567890,Head Of Sales,Example Corp,India,2025-04-28,Website Visitor
Henry,Anderson,henry.anderson@gmail.com,,Software Engineer,Umbrella Corp,United Kingdom,2024-10-01,Product Signup
Grace,Smith,grace.smith@company.com,+11234567890,Data Analyst,Example Corp,Ca,2024-12-07,Referral
Carol,Martinez,carol.martinez@yahoo.com,,Product Lead,Umbrella Corp,United Kingdom,2024-10-15,Product Signup
Henry,Smith,henry.smith@business.co,,Sr. Engineer,Example Corp,India,2025-06-20,Product Signup
