full_name_raw,first_name_norm,last_name_norm,email_raw,email_lower,email_valid,phone_raw,phone_norm,title_raw,title_norm,company_raw,company_norm,country_raw,country_norm,created_at_raw,created_at_parsed,source_raw,source_norm
Alice Wilson,Alice,Wilson,alice.wilson@gmail.com,alice.wilson@gmail.com,True,5551212,,CTO,Cto,COMPANY,Company,Germany,Germany,2024-09-29,2024-09-29,Product Signup,Product Signup
Frank Lee,Frank,Lee,frank.lee@yahoo.com,frank.lee@yahoo.com,True,5551212,,Sr. Engineer,Sr. Engineer,Example Corp,Example Corp,France,France,06/28/2025,2025-06-28,Referral,Referral
Grace Taylor,Grace,Taylor,grace.taylor@company.com,grace.taylor@company.com,True,call me,,VP Mktg,Vp Mktg,Air.Inc,Air.Inc,France,France,2024-08-24,2024-08-24,LinkedIn,Linkedin
Ivy Anderson,Ivy,Anderson,ivy.anderson@yahoo.com,ivy.anderson@yahoo.com,True,123-456-7890,+11234567890,Sr. Engineer,Sr. Engineer,Initech,Initech,US,United States,2025-03-12,2025-03-12,Referral,Referral
Carol Taylor,Carol,Taylor,carol.taylor@company.com,carol.taylor@company.com,True,123-456-7890,+11234567890,CEO,Ceo,Startup.io,Startup.Io,nan,Nan,04/06/2025,2025-04-06,Product Signup,Product Signup
Jack Jones,Jack,Jones,jack.jones@startup.io,jack.jones@startup.io,True,+1 800 555 1212,+18005551212,CEO,Ceo,Startup.io,Startup.Io,Germany,Germany,11/18/2024,2024-11-18,Event,Event
Alice Johnson,Alice,Johnson,alice.johnson@company.com,alice.johnson@company.com,True,(123) 456-7890,+11234567890,nan,Nan,Example Corp,Example Corp,United States,United States,29-Jun-2025,2025-06-29,Referral,Referral
Frank Brown,Frank,Brown,frank.brown@startup.io,frank.brown@startup.io,True,123-456-7890,+11234567890,Sr. Engineer,Sr. Engineer,Acme Co,Acme Co,US,United States,2025-04-04,2025-04-04,Event,Event
nan,Nan,,missing-at-symbol.com,missing-at-symbol.com,False,5551212,,VP Mktg,Vp Mktg,Air.Inc,Air.Inc,usa,United States,2 days ago,,linkedin,Linkedin
Jack Martinez,Jack,Martinez,jack.martinez@company.com,jack.martinez@company.com,True,5551212,,CTO,Cto,Initech,Initech,France,France,19-Oct-2024,2024-10-19,Event,Event
Jack Brown,Jack,Brown,jack.brown@company.com,jack.brown@company.com,True,123-456-7890,+11234567890,Designer,Designer,GlobalTech,Globaltech,nan,Nan,20-Dec-2024,2024-12-20,Event,Event
Ivy Jones,Ivy,Jones,ivy.jones@company.com,ivy.jones@company.com,True,+1 800 555 1212,+18005551212,product lead  ,Product Lead,Startup.io,Startup.Io,UK,United Kingdom,20-Oct-2024,2024-10-20,Product Signup,Product Signup
Alice Chen,Alice,Chen,alice.chen@startup.io,alice.chen@startup.io,True,call me,,Software Engineer,Software Engineer,nan,Nan,US,United States,2025-05-24,2025-05-24,Website Visitor,Website Visitor
Alice Lee,Alice,Lee,alice.lee@air.inc,alice.lee@air.inc,True,call me,,VP Mktg,Vp Mktg,GlobalTech,Globaltech,US,United States,2025-08-02,2025-08-02,Product Signup,Product Signup
Grace Smith,Grace,Smith,grace.smith@air.inc,grace.smith@air.inc,True,call me,,Marketing Manager,Marketing Manager,Startup.io,Startup.Io,nan,Nan,02-May-2025,2025-05-02,Referral,Referral
Grace Smith,Grace,Smith,grace.smith@yahoo.com,grace.smith@yahoo.com,True,call me,,head of sales,Head Of Sales,example corp,Example Corp,UK,United Kingdom,03/14/2025,2025-03-14,Product Signup,Product Signup
Emily Jones,Emily,Jones,emily.jones@air.inc,emily.jones@air.inc,True,(123) 456-7890,+11234567890,Designer,Designer,Startup.io,Startup.Io,India,India,07/01/2025,2025-07-01,Event,Event
Alice Smith,Alice,Smith,alice.smith@gmail.com,alice.smith@gmail.com,True,+1 800 555 1212,+18005551212,CEO,Ceo,example corp,Example Corp,Canada,Canada,07/19/2025,2025-07-19,Website Visitor,Website Visitor
Emily Jones,Emily,Jones,emily.jones@yahoo.com,emily.jones@yahoo.com,True,nan,,product lead  ,Product Lead,Startup.io,Startup.Io,UK,United Kingdom,01/30/2025,2025-01-30,Event,Event
Carol Taylor,Carol,Taylor,carol.taylor@startup.io,carol.taylor@startup.io,True,5551212,,Marketing Manager,Marketing Manager,   ,,nan,Nan,2025-04-17,2025-04-17,Referral,Referral
Grace Johnson,Grace,Johnson,grace.johnson@gmail.com,grace.johnson@gmail.com,True,(123) 456-7890,+11234567890,Head of Sales,Head Of Sales,GlobalTech,Globaltech,United States,United States,04/24/2025,2025-04-24,LinkedIn,Linkedin
David Jones,David,Jones,david.jones@yahoo.com,david.jones@yahoo.com,True,(123) 456-7890,+11234567890,VP Mktg,Vp Mktg,nan,Nan,Canada,Canada,06-Jan-2025,2025-01-06,Event,Event
Carol Brown,Carol,Brown,carol.brown@business.co,carol.brown@business.co,True,nan,,Software Engineer,Software Engineer,   ,,CA,Ca,05/18/2025,2025-05-18,Website Visitor,Website Visitor
Carol Wilson,Carol,Wilson,carol.wilson@company.com,carol.wilson@company.com,True,123-456-7890,+11234567890,Data Analyst,Data Analyst,Initech,Initech,India,India,08-Jul-2025,2025-07-08,Website Visitor,Website Visitor
David Lee,David,Lee,david.lee@gmail.com,david.lee@gmail.com,True,call me,,CEO,Ceo,Air Inc,Air Inc,India,India,2025-06-11,2025-06-11,Product Signup,Product Signup
Ivy Taylor,Ivy,Taylor,ivy.taylor@yahoo.com,ivy.taylor@yahoo.com,True,call me,,Marketing Manager,Marketing Manager,Example Corp,Example Corp,nan,Nan,2025-03-21,2025-03-21,Event,Event
Grace Taylor,Grace,Taylor,grace.taylor@yahoo.com,grace.taylor@yahoo.com,True,123-456-7890,+11234567890,head of sales,Head Of Sales,example corp,Example Corp,India,India,2025-04-28,2025-04-28,Website Visitor,Website Visitor
Henry Anderson,Henry,Anderson,henry.anderson@gmail.com,henry.anderson@gmail.com,True,5551212,,Software Engineer,Software Engineer,Umbrella Corp,Umbrella Corp,UK,United Kingdom,10/01/2024,2024-10-01,Product Signup,Product Signup
Grace Smith,Grace,Smith,grace.smith@company.com,grace.smith@company.com,True,123-456-7890,+11234567890,Data Analyst,Data Analyst,example corp,Example Corp,CA,Ca,07-Dec-2024,2024-12-07,Referral,Referral
Carol Martinez,Carol,Martinez,carol.martinez@yahoo.com,carol.martinez@yahoo.com,True,5551212,,Product Lead,Product Lead,Umbrella Corp,Umbrella Corp,UK,United Kingdom,15-Oct-2024,2024-10-15,Product Signup,Product Signup
Henry Smith,Henry,Smith,henry.smith@business.co,henry.smith@business.co,True,nan,,Sr. Engineer,Sr. Engineer,example corp,Example Corp,India,India,2025-06-20,2025-06-20,Product Signup,Product Signup
